ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,url,NUTS2,NUTS2_Label,NUTS3,NUTS3_Label,Domain_Status
PT-HEI-002-D03,University of Porto - Faculty of Medicine,Public,University,Member of a European Universities Initiative alliance,med.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D04,University of Porto - School of Economics and Management,Public,University,Member of a European Universities Initiative alliance,fep.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D05,University of Porto - Faculty of Arts and Humanities,Public,University,Member of a European Universities Initiative alliance,www.letras.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D06,University of Porto - Faculty of Law,Public,University,Member of a European Universities Initiative alliance,fd.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D07,University of Porto - Faculty of Psychology and Education Sciences,Public,University,Member of a European Universities Initiative alliance,fpce.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D08,University of Porto - ICBAS School of Medicine and Biomedical Sciences,Public,University,Member of a European Universities Initiative alliance,icbas.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D09,University of Porto - Faculty of Fine Arts,Public,University,Member of a European Universities Initiative alliance,fba.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D10,University of Porto - Faculty of Sport,Public,University,Member of a European Universities Initiative alliance,fade.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D11,University of Porto - Faculty of Pharmacy,Public,University,Member of a European Universities Initiative alliance,ff.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D12,University of Porto - Faculty of Nutrition and Food Sciences,Public,University,Member of a European Universities Initiative alliance,fcna.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D13,University of Porto - Faculty of Dental Medicine,Public,University,Member of a European Universities Initiative alliance,fmd.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D14,University of Porto - Rectory,Public,University,Member of a European Universities Initiative alliance,reit.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D15,University of Porto - Porto Business School,Public,University,Member of a European Universities Initiative alliance,pbs.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D16,"University of Porto - Nursing School (former ESEP, integrated by DL 83/2024)",Public,University,Member of a European Universities Initiative alliance,www.esenf.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-003,University of Coimbra (UC),Public,University,Member of a European Universities Initiative alliance,www.uc.pt,PT19,Centro,PT192,Regiao de Coimbra,V
PT-HEI-003-D01,"University of Coimbra - Nursing School (former ESEnfC, integrated by DL 83/2024)",Public,University,Member of a European Universities Initiative alliance,www.esenfc.pt,PT19,Centro,PT192,Regiao de Coimbra,V
PT-HEI-004,University of Minho (UMinho),Public,University,Member of a European Universities Initiative alliance,www.uminho.pt,PT11,Norte,PT112,Cavado,V
PT-HEI-005,NOVA University Lisbon (NOVA),Public,University,Member of a European Universities Initiative alliance,www.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D01,NOVA University Lisbon - NOVA School of Science and Technology,Public,University,Member of a European Universities Initiative alliance,fct.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D02,NOVA University Lisbon - Nova School of Business and Economics,Public,University,Member of a European Universities Initiative alliance,novasbe.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D03,NOVA University Lisbon - School of Social Sciences and Humanities,Public,University,Member of a European Universities Initiative alliance,fcsh.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D04,NOVA University Lisbon - NOVA Medical School,Public,University,Member of a European Universities Initiative alliance,nms.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D05,NOVA University Lisbon - NOVA School of Law,Public,University,Member of a European Universities Initiative alliance,novalaw.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D06,NOVA University Lisbon - National School of Public Health,Public,University,Member of a European Universities Initiative alliance,ensp.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-005-D07,NOVA University Lisbon - Information Management School,Public,University,Member of a European Universities Initiative alliance,novaims.unl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-006,University of Aveiro (UA),Public,University,Member of a European Universities Initiative alliance,www.ua.pt,PT19,Centro,PT191,Regiao de Aveiro,V
PT-HEI-007,University of Evora (UEvora),Public,University,Member of a European Universities Initiative alliance,www.uevora.pt,PT1C,Alentejo,PT1C4,Alentejo Central,V
PT-HEI-008,University of Algarve (UAlg),Public,University,Member of a European Universities Initiative alliance,www.ualg.pt,PT15,Algarve,PT150,Algarve,V
PT-HEI-009,University of Beira Interior (UBI),Public,University,Not found in European Commission sources,www.ubi.pt,PT19,Centro,PT196,Beiras e Serra da Estrela,V
PT-HEI-010,University of Tras-os-Montes and Alto Douro (UTAD),Public,University,Not found in European Commission sources,www.utad.pt,PT11,Norte,PT11D,Douro,V
PT-HEI-011,University of Madeira (UMa),Public,University,Not found in European Commission sources,www.uma.pt,PT30,Regiao Autonoma da Madeira,PT300,Regiao Autonoma da Madeira,V
PT-HEI-012,University of the Azores (UAc),Public,University,Not found in European Commission sources,www.uac.pt,PT20,Regiao Autonoma dos Acores,PT200,Regiao Autonoma dos Acores,V
